artist_name,start_date,end_date,stage,stage_latitude,stage_longitude,day
Leipzig,9/27/23 9.30 PM,9/27/23 10.15 PM,Klab Klub,-6.217429041,106.8025604,3
Raissa,9/27/23 9.40 PM,9/27/23 10.40 PM,Yes No Klub,-6.216075586,106.8018606,3
RAN,9/27/23 9.45 PM,9/27/23 10.30 PM,Hingar Bingar,-6.219256549,106.7995374,3
Mahalini,9/27/23 10.00 PM,9/27/23 10.45 PM,Gegap Gempita,-6.219200841,106.8004699,3
Perunggu,9/27/23 10.00 PM,9/27/23 10.45 PM,Riang Gembira,-6.217556546,106.8010231,3
Mamang Kesbor,9/27/23 10.00 PM,9/27/23 10.45 PM,Alternative Stage,-6.220093561,106.7994224,3
Sheila On 7,9/27/23 10.25 PM,9/27/23 11.25 PM,Pestapora IM3,-6.217197051,106.7994883,3
Ayu Ting-Ting,9/27/23 10.25 PM,9/27/23 11.20 PM,Boss Stage,-6.217307514,106.8044678,3
Bonga Bonga,9/27/23 10.25 PM,9/27/23 11.20 PM,Klab Klub,-6.217429041,106.8025604,3
Teya Logos,9/27/23 10.40 PM,9/27/23 11.40 PM,Yes No Klub,-6.216075586,106.8018606,3
Salon RNB,9/27/23 10.55 PM,9/27/23 12.05 AM,Alternative Stage,-6.220093561,106.7994224,3
Kawan-Kawan Anda The Coconut Treez,9/27/23 11.00 PM,9/27/23 11.45 PM,Hingar Bingar,-6.219256549,106.7995374,3
D Masiv,9/27/23 11.15 PM,9/28/23 12.15 AM,Gegap Gempita,-6.219200841,106.8004699,3
Aldi Taher & Band,9/27/23 11.15 PM,9/28/23 12.15 AM,Riang Gembira,-6.217556546,106.8010231,3
Teenage Death Star,9/27/23 11.40 PM,9/28/23 12.25 AM,Klab Klub,-6.217429041,106.8025604,3
Putri Kharisma,9/27/23 11.40 PM,9/28/23 12.40 AM,Yes No Klub,-6.216075586,106.8018606,3
The Changcuters,9/27/23 11.50 PM,9/28/23 12.35 AM,Boss Stage,-6.217307514,106.8044678,3
Dewa 19 feat Ello,9/27/23 11.55 PM,9/28/23 12.55 AM,Pestapora IM3,-6.217197051,106.7994883,3
NDX AKA,9/27/23 12.00 AM,9/28/23 1.00 AM,Hingar Bingar,-6.219256549,106.7995374,3
Ucupop,9/27/23 12.00 AM,9/28/23 1.30 AM,Doubledeck,-6.213822752,106.8035294,3
